,title_series,season_number,ckg_match_id,region,tenure_grp,request_date_pst,days_since_season_premiere_date_pst,sub_count
577,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-1,2022-09-07,17,0
578,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,13+,2024-06-26,10,588088
579,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,2,2022-09-14,24,0
580,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,2,2023-02-27,24,0
581,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-6,2022-09-18,28,0
582,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,2,2023-02-05,2,0
583,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,4-6,2023-02-05,2,0
584,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,1,2023-02-06,3,0
585,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,2,2024-06-19,3,18321
586,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,2,2024-06-29,13,12303
587,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-7,2022-08-29,8,0
588,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,2,2022-08-29,8,0
589,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-5,2022-09-09,19,0
590,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,4-6,2024-07-05,19,977
591,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,6-12,2023-02-26,23,0
592,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,,2023-02-14,11,0
593,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,4-6,2024-06-27,11,862
594,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,13+,2022-08-24,3,0
595,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,6-12,2022-08-24,3,0
596,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,0,2024-06-19,3,628
597,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-5,2022-09-12,22,0
598,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-1,2022-09-01,11,0
599,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,13+,2023-02-14,11,0
600,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,1,2024-06-27,11,1218
601,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,6-12,2024-06-30,14,395129
602,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,6-12,2024-06-30,14,7445
603,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,4-6,2022-09-13,23,0
604,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-3,2022-09-13,23,0
605,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,4-6,2023-02-26,23,0
606,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,0,2023-02-24,21,0
607,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,1,2024-07-07,21,408392
608,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,,2023-02-04,1,0
609,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-8,2022-08-22,1,0
610,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-3,2022-08-22,1,0
611,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,,2024-06-29,13,1
612,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-2,2022-09-06,16,0
613,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-10,2022-09-06,16,0
614,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-5,2022-09-06,16,0
615,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,6-12,2024-07-02,16,156031
616,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,1,2024-07-02,16,2707
617,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,2,2024-07-03,17,24332
618,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-3,2022-08-29,8,0
619,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,2,2024-06-29,13,396
620,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-7,2022-09-09,19,0
621,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,0,2023-02-17,14,0
622,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,13+,2023-02-17,14,0
623,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,2,2023-02-17,14,0
624,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-5,2022-09-07,17,0
625,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,4-6,2023-02-20,17,0
626,House of the Dragon: The House That Dragons Built,2,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-2,NORTH AMERICA,6-12,2024-07-03,17,2619
627,House of the Dragon: The House That Dragons Built,1,6ebc8e70-17b0-4a1a-a340-af7d8ce63a82-1,NORTH AMERICA,6-12,2023-02-19,16,0
628,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-5,2022-08-23,2,0
629,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,-4,2022-08-23,2,0
630,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,13+,2024-06-18,2,892611
631,House of the Dragon,1,c68e69d7-9317-428a-a615-cdf8fe5a2e06-1,NORTH AMERICA,0,2022-08-22,1,0
632,House of the Dragon,2,c68e69d7-9317-428a-a615-cdf8fe5a2e06-2,NORTH AMERICA,1,2024-06-30,14,362597
